Count,Name,BLDG_CH,BLDG_NUM,CITY_CODE,Layer,NUM_APTS_C,NUM_FLOORS,Position X,Position Y,Position Z,STREET_COD,STRT_TYPE,Closed,Length,Area
1,Attribute Definition,,,,0,,,180173.7177,654287.5258,57.7800,,,,,
1,2802,,,,2802,,,180162.2100,654301.9200,58.0400,,,,,
1,Attribute Definition,,,,0,,,180174.8600,654287.7300,57.7800,,,,,
1,Attribute Definition,,,,0,,,180194.2977,654297.3458,58.0500,,,,,
1,2802,,,,2802,,,180174.8600,654287.2300,57.7800,,,,,
1,Attribute Definition,,,,0,,,180266.5277,654370.8758,59.3600,,,,,
1,2802,,,,2802,,,180196.9900,654287.2000,57.1100,,,,,
1,Attribute Definition,,,,0,,,180267.6700,654371.0800,59.3600,,,,,
1,Attribute Definition,,,,0,,,180192.8577,654264.7758,56.0700,,,,,
1,2802,,,,2802,,,180267.6700,654370.5800,59.3600,,,,,
1,Attribute Definition,,,,0,,,180264.4300,654473.6300,60.5400,,,,,
1,Attribute Definition,,,,0,,,180263.2877,654473.4258,60.5400,,,,,
1,2802,,,,2802,,,180264.4300,654473.1300,60.5400,,,,,
1,Attribute Definition,,,,0,,,180196.9900,654287.7000,57.1100,,,,,
1,Attribute Definition,,,,0,,,180195.8477,654287.4958,57.1100,,,,,
1,3D Polyline,,,,2200,,,,,,,,-1,67.0113,
1,3D Polyline,,,,2200,,,,,,,,-1,131.2052,
1,3D Polyline,,,,2200,,,,,,,,-1,119.9492,
1,3D Polyline,,,,2200,,,,,,,,-1,181.2580,
1,3D Polyline,,,,2200,,,,,,,,-1,68.8276,
1,3D Polyline,,,,2200,,,,,,,,-1,237.4260,
1,3D Polyline,,,,2200,,,,,,,,-1,182.2351,
1,3D Polyline,,,,2200,,,,,,,,-1,184.7366,
1,3D Polyline,,,,2200,,,,,,,,-1,158.6732,
1,3D Polyline,,,,2200,,,,,,,,-1,169.5548,
1,3D Polyline,,,,2200,,,,,,,,-1,240.6229,
1,3D Polyline,,,,2200,,,,,,,,-1,30.1928,
1,3D Polyline,,,,2200,,,,,,,,-1,158.4057,
1,3D Polyline,,,,2200,,,,,,,,-1,67.9248,
1,3D Polyline,,,,2200,,,,,,,,-1,115.0025,
1,3D Polyline,,,,2200,,,,,,,,-1,85.9524,
1,3D Polyline,,,,2200,,,,,,,,-1,170.0341,
1,3D Polyline,,,,2200,,,,,,,,-1,135.1691,
1,3D Polyline,,,,2200,,,,,,,,-1,158.7367,
1,3D Polyline,,,,2200,,,,,,,,-1,121.5746,
1,3D Polyline,,,,2200,,,,,,,,-1,132.4038,
1,3D Polyline,,,,2200,,,,,,,,-1,27.6846,
1,3D Polyline,,,,2200,,,,,,,,-1,32.1493,
1,3D Polyline,,,,2200,,,,,,,,-1,118.6589,
1,3D Polyline,,,,2200,,,,,,,,-1,112.8678,
1,3D Polyline,,,,2200,,,,,,,,-1,70.7688,
1,3D Polyline,,,,2200,,,,,,,,-1,163.7684,
1,3D Polyline,,,,2200,,,,,,,,-1,16.7614,
1,3D Polyline,,,,2200,,,,,,,,-1,90.6664,
1,3D Polyline,,,,2200,,,,,,,,-1,82.2963,
1,3D Polyline,,,,2200,,,,,,,,-1,166.2904,
1,3D Polyline,,,,2200,,,,,,,,-1,15.9877,
1,3D Polyline,,,,2200,,,,,,,,-1,103.9801,
1,3D Polyline,,,,2200,,,,,,,,-1,21.0343,
1,3D Polyline,,,,2200,,,,,,,,-1,189.2981,
1,3D Polyline,,,,2200,,,,,,,,-1,223.1493,
1,3D Polyline,,,,2200,,,,,,,,-1,74.4225,
1,3D Polyline,,,,2200,,,,,,,,-1,125.0155,
1,3D Polyline,,,,2200,,,,,,,,-1,42.0237,
1,3D Polyline,,,,2200,,,,,,,,-1,37.1988,
1,3D Polyline,,,,2200,,,,,,,,-1,104.0244,
